ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant,resp_bytes_est,resp_bytes_src,resp_bytes_n,slack_const_s1,slack_const_s2,slack_const_s3,chosen_site_const,slack_bytesonly_s1,slack_bytesonly_s2,slack_bytesonly_s3,chosen_site_bytesonly,slack_fconly_s1,slack_fconly_s2,slack_fconly_s3,chosen_site_fconly,obs_update_ms,backlog_bytes,feasible_set,subset_cluster,feasible_set_const,feasible_set_bytesonly,feasible_set_fconly,unit_rate_rps,l_eff_s1,l_eff_s2,l_eff_s3,cap_ok_s1,cap_ok_s2,cap_ok_s3,blocked_by,cap_blocked_sites,soft_applied,carry_s1,carry_s2,carry_s3,soft_overflow_eq,soft_objective_eq,soft_weights,c_eff_s1,band_used,c_eff_extrapolated
1786377433.429,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior,0,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,0.109,0,S3,site_s3,S3,S3,S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377433.429,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior,0,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,0.109,0,S3,site_s3,S3,S3,S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377434.428,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior,0,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,0.1,0,S3,site_s3,S3,S3,S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377434.428,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior,0,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,0.1,0,S3,site_s3,S3,S3,S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377434.428,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior,0,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,0.1,0,S3,site_s3,S3,S3,S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377434.428,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior,0,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,0.1,0,S3,site_s3,S3,S3,S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377434.428,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior,0,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,0.1,0,S3,site_s3,S3,S3,S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377434.428,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior,0,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,0.1,0,S3,site_s3,S3,S3,S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377435.429,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior,0,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,0.101,0,S3,site_s3,S3,S3,S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377435.429,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior,0,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,0.101,0,S3,site_s3,S3,S3,S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377435.429,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior,0,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,0.101,0,S3,site_s3,S3,S3,S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377435.429,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior,0,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,0.101,0,S3,site_s3,S3,S3,S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377435.429,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior,0,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,0.101,0,S3,site_s3,S3,S3,S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377435.429,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior,0,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,0.101,0,S3,site_s3,S3,S3,S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377436.432,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior_fill,78,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,3.522,0,S3,site_s3,S3,S3,S3,19.5,0.0,0.0,5.4,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377436.432,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior_fill,117,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,3.522,0,S3,site_s3,S3,S3,S3,29.5,0.0,0.0,34.9,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377436.432,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior_fill,151,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,3.522,0,S3,site_s3,S3,S3,S3,38.0,0.0,0.0,41.7,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377436.432,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior_fill,78,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,3.522,0,S3,site_s3,S3,S3,S3,19.5,0.0,0.0,47.1,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377436.432,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior_fill,117,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,3.522,0,S3,site_s3,S3,S3,S3,29.0,0.0,0.0,76.1,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377436.432,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior_fill,151,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,3.522,0,S3,site_s3,S3,S3,S3,37.5,0.0,0.0,82.8,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377437.438,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior_fill,255,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,9.481,0,S3,site_s3,S3,S3,S3,64.0,0.0,0.0,17.8,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377437.438,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior_fill,382,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,9.481,0,S3,site_s3,S3,S3,S3,95.5,0.0,0.0,113.3,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377437.438,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior_fill,510,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,9.481,0,S3,site_s3,S3,S3,S3,127.5,0.0,0.0,136.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377437.438,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior_fill,255,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,9.481,0,S3,site_s3,S3,S3,S3,63.5,0.0,0.0,153.6,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377437.438,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior_fill,382,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,9.481,0,S3,site_s3,S3,S3,S3,95.5,0.0,0.0,249.1,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377437.438,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior_fill,510,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,9.481,0,S3,site_s3,S3,S3,S3,127.5,0.0,0.0,271.8,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377438.436,c1,reserve,,0.0,26.34,13.67,3.31,S3,0,,0,36.0,obs,347,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.31,S3,7.698,0,S3,site_s3,S3,S3,S3,86.5,0.0,0.0,24.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377438.436,c1,search,,0.0,31.1,20.71,10.74,S3,0,,0,4474.0,obs,525,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.74,S3,7.698,0,S3,site_s3,S3,S3,S3,131.5,0.0,0.0,155.5,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377438.436,c1,recommend,,0.0,26.76,14.03,3.83,S3,0,,0,200.0,obs,704,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.83,S3,7.698,0,S3,site_s3,S3,S3,S3,176.0,0.0,0.0,186.9,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377438.436,c2,reserve,,0.0,26.34,13.67,3.31,S3,0,,0,36.0,obs,347,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.31,S3,7.698,0,S3,site_s3,S3,S3,S3,87.0,0.0,0.0,211.1,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377438.436,c2,search,,0.0,31.1,20.71,10.74,S3,0,,0,4474.0,obs,525,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.74,S3,7.698,0,S3,site_s3,S3,S3,S3,131.0,0.0,0.0,342.1,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377438.436,c2,recommend,,0.0,26.76,14.03,3.83,S3,0,,0,200.0,obs,704,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.83,S3,7.698,0,S3,site_s3,S3,S3,S3,176.0,0.0,0.0,373.4,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377439.436,c1,reserve,,0.0,26.34,13.67,3.52,S3,0,,0,36.0,obs,348,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.52,S3,7.304,0,S3,site_s3,S3,S3,S3,87.0,0.0,0.0,24.2,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377439.436,c1,search,,0.0,31.1,20.71,10.73,S3,0,,0,4474.0,obs,527,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.73,S3,7.304,0,S3,site_s3,S3,S3,S3,131.5,0.0,0.0,155.7,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377439.436,c1,recommend,,0.0,26.76,14.03,3.8,S3,0,,0,200.0,obs,702,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.8,S3,7.304,0,S3,site_s3,S3,S3,S3,175.5,0.0,0.0,186.9,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377439.436,c2,reserve,,0.0,26.34,13.67,3.52,S3,0,,0,36.0,obs,348,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.52,S3,7.304,0,S3,site_s3,S3,S3,S3,87.0,0.0,0.0,211.1,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377439.436,c2,search,,0.0,31.1,20.71,10.73,S3,0,,0,4474.0,obs,527,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.73,S3,7.304,0,S3,site_s3,S3,S3,S3,132.0,0.0,0.0,343.1,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377439.436,c2,recommend,,0.0,26.76,14.03,3.8,S3,0,,0,200.0,obs,702,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.8,S3,7.304,0,S3,site_s3,S3,S3,S3,175.5,0.0,0.0,374.3,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377440.436,c1,reserve,,0.0,26.34,13.67,3.61,S3,0,,0,36.0,obs,352,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.61,S3,7.472,0,S3,site_s3,S3,S3,S3,88.0,0.0,0.0,24.5,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377440.436,c1,search,,0.0,31.1,20.71,10.93,S3,0,,0,4474.0,obs,527,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.93,S3,7.472,0,S3,site_s3,S3,S3,S3,132.0,0.0,0.0,156.5,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377440.436,c1,recommend,,0.0,26.76,14.03,3.91,S3,0,,0,200.0,obs,698,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.91,S3,7.472,0,S3,site_s3,S3,S3,S3,174.5,0.0,0.0,187.5,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377440.436,c2,reserve,,0.0,26.34,13.67,3.61,S3,0,,0,36.0,obs,352,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.61,S3,7.472,0,S3,site_s3,S3,S3,S3,88.0,0.0,0.0,212.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377440.436,c2,search,,0.0,31.1,20.71,10.93,S3,0,,0,4474.0,obs,527,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.93,S3,7.472,0,S3,site_s3,S3,S3,S3,131.5,0.0,0.0,343.5,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377440.436,c2,recommend,,0.0,26.76,14.03,3.91,S3,0,,0,200.0,obs,698,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.91,S3,7.472,0,S3,site_s3,S3,S3,S3,174.5,0.0,0.0,374.6,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377441.436,c1,reserve,,0.0,26.34,13.67,3.57,S3,0,,0,36.0,obs,354,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.57,S3,7.662,0,S3,site_s3,S3,S3,S3,88.5,0.0,0.0,24.6,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377441.436,c1,search,,0.0,31.1,20.71,10.92,S3,0,,0,4474.0,obs,522,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.92,S3,7.662,0,S3,site_s3,S3,S3,S3,130.5,0.0,0.0,155.1,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377441.436,c1,recommend,,0.0,26.76,14.03,3.99,S3,0,,0,200.0,obs,700,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.99,S3,7.662,0,S3,site_s3,S3,S3,S3,175.0,0.0,0.0,186.3,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377441.436,c2,reserve,,0.0,26.34,13.67,3.57,S3,0,,0,36.0,obs,354,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.57,S3,7.662,0,S3,site_s3,S3,S3,S3,88.5,0.0,0.0,210.9,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377441.436,c2,search,,0.0,31.1,20.71,10.92,S3,0,,0,4474.0,obs,522,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.92,S3,7.662,0,S3,site_s3,S3,S3,S3,130.5,0.0,0.0,341.4,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377441.436,c2,recommend,,0.0,26.76,14.03,3.99,S3,0,,0,200.0,obs,700,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.99,S3,7.662,0,S3,site_s3,S3,S3,S3,175.0,0.0,0.0,372.5,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377442.436,c1,reserve,,0.0,26.34,13.67,3.54,S3,0,,0,36.0,obs,351,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.54,S3,7.591,0,S3,site_s3,S3,S3,S3,87.5,0.0,0.0,24.3,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377442.436,c1,search,,0.0,31.1,20.71,11.01,S3,0,,0,4474.0,obs,523,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,11.01,S3,7.591,0,S3,site_s3,S3,S3,S3,130.5,0.0,0.0,154.8,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377442.436,c1,recommend,,0.0,26.76,14.03,3.98,S3,0,,0,200.0,obs,704,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.98,S3,7.591,0,S3,site_s3,S3,S3,S3,176.0,0.0,0.0,186.2,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377442.436,c2,reserve,,0.0,26.34,13.67,3.54,S3,0,,0,36.0,obs,351,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.54,S3,7.591,0,S3,site_s3,S3,S3,S3,88.0,0.0,0.0,210.6,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377442.436,c2,search,,0.0,31.1,20.71,11.01,S3,0,,0,4474.0,obs,523,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,11.01,S3,7.591,0,S3,site_s3,S3,S3,S3,131.0,0.0,0.0,341.6,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377442.436,c2,recommend,,0.0,26.76,14.03,3.98,S3,0,,0,200.0,obs,704,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.98,S3,7.591,0,S3,site_s3,S3,S3,S3,176.0,0.0,0.0,372.9,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377443.436,c1,reserve,,0.0,26.34,13.67,3.48,S3,0,,0,36.0,obs,332,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.48,S3,7.05,0,S3,site_s3,S3,S3,S3,83.0,0.0,0.0,23.1,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377443.436,c1,search,,0.0,31.1,20.71,10.73,S3,0,,0,4474.0,obs,499,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.73,S3,7.05,0,S3,site_s3,S3,S3,S3,124.5,0.0,0.0,147.6,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377443.436,c1,recommend,,0.0,26.76,14.03,3.91,S3,0,,0,200.0,obs,668,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.91,S3,7.05,0,S3,site_s3,S3,S3,S3,167.0,0.0,0.0,177.3,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377443.436,c2,reserve,,0.0,26.34,13.67,3.48,S3,0,,0,36.0,obs,332,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.48,S3,7.05,0,S3,site_s3,S3,S3,S3,83.0,0.0,0.0,200.4,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377443.436,c2,search,,0.0,31.1,20.71,10.73,S3,0,,0,4474.0,obs,499,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.73,S3,7.05,0,S3,site_s3,S3,S3,S3,125.0,0.0,0.0,325.4,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377443.436,c2,recommend,,0.0,26.76,14.03,3.91,S3,0,,0,200.0,obs,668,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.91,S3,7.05,0,S3,site_s3,S3,S3,S3,167.0,0.0,0.0,355.1,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377444.436,c1,reserve,,0.0,26.34,13.67,3.54,S3,0,,0,36.0,obs,334,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.54,S3,7.301,0,S3,site_s3,S3,S3,S3,83.5,0.0,0.0,23.2,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377444.436,c1,search,,0.0,31.1,20.71,10.75,S3,0,,0,4474.0,obs,502,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.75,S3,7.301,0,S3,site_s3,S3,S3,S3,125.5,0.0,0.0,148.7,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377444.436,c1,recommend,,0.0,26.76,14.03,3.96,S3,0,,0,200.0,obs,664,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.96,S3,7.301,0,S3,site_s3,S3,S3,S3,166.0,0.0,0.0,178.3,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377444.436,c2,reserve,,0.0,26.34,13.67,3.54,S3,0,,0,36.0,obs,334,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.54,S3,7.301,0,S3,site_s3,S3,S3,S3,83.5,0.0,0.0,201.5,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
1786377444.436,c2,search,,0.0,31.1,20.71,10.75,S3,0,,0,4474.0,obs,502,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.75,S3,7.301,0,S3,site_s3,S3,S3,S3,125.5,0.0,0.0,327.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,,279.0,,0
